@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

jenk-commit,1,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2127,252,27,19,8,0,70.37037,29.62963,0,0.337423,0.301488,0.528491,72.092169,115.736672,23.672131,68.71606,-45.043929,0.876746,2.545039,-1.668294,5.399292,0.199974,613.328527,0.625,5,0.263158,5,0.736842,14,0.375,3,0.5,0.625,0.555556,0.769737,0.703704,0.341862,0.658138,0.296296,0.727669,0.703704,0.711934,0.769737,19.263,0.001,18.783546,0.001814,481675,310427,59102,?
jenk-commit,2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2127,251,28,20,8,0,71.428571,28.571429,0,0.3,0.276102,0.507181,66.618175,112.209996,24.188289,66.527124,-42.338835,0.863867,2.375969,-1.512101,6.659443,0.237837,755.232854,0.5,4,0.2,4,0.8,16,0.5,4,0.5,0.5,0.5,0.74375,0.714286,0.414286,0.585714,0.285714,0.714286,0.714286,0.714286,0.74375,19.716,0.001,19.208016,0.001863,481675,309310,60219,?
jenk-commit,2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2128,251,28,18,10,0,64.285714,35.714286,0,0.125,0.307574,0.515399,74.211708,114.028287,24.188289,61.716754,-37.528465,0.863867,2.20417,-1.340302,4.280853,0.152888,485.482144,0.375,3,0.25,5,0.75,15,0.625,5,0.375,0.375,0.375,0.68125,0.642857,0.517857,0.482143,0.357143,0.642857,0.642857,0.642857,0.68125,18.849,0.002,18.472533,0.001773,481675,309310,60219,?
jenk-commit,2,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2128,251,28,23,5,0,82.142857,17.857143,0,0.578313,0.174221,0.371673,42.036261,82.229917,24.188289,39.256842,-15.068553,0.863867,1.40203,-0.538163,13.198289,0.471367,1496.788956,0.75,6,0.15,3,0.85,17,0.25,2,0.666667,0.75,0.705882,0.81875,0.821429,0.221429,0.778571,0.178571,0.829574,0.821429,0.824391,0.81875,18.46,0.002,18.021038,0.00184,481675,309310,60219,?
jenk-commit,2,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2128,251,28,22,6,0,78.571429,21.428571,0,0.432432,0.221122,0.421824,53.352486,93.325531,24.188289,41.277321,-17.089032,0.863867,1.47419,-0.610323,10.619716,0.379276,1204.358635,0.5,4,0.1,2,0.9,18,0.5,4,0.666667,0.5,0.571429,0.76875,0.785714,0.385714,0.614286,0.214286,0.774892,0.785714,0.77551,0.76875,18.357,0.002,17.997711,0.001814,481675,309310,60219,?
jenk-commit,2,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2129,251,28,25,3,0,89.285714,10.714286,0,0.704225,0.174089,0.3593,42.004285,79.492558,24.188289,60.683837,-36.495548,0.863867,2.16728,-1.303412,13.733367,0.490477,1557.470978,0.625,5,0,0,1,20,0.375,3,1,0.625,0.769231,0.76875,0.892857,0.267857,0.732143,0.107143,0.906832,0.892857,0.884232,0.76875,18.419,0.002,17.96837,0.001902,481675,309310,60219,?
jenk-commit,2,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2129,251,28,22,6,0,78.571429,21.428571,0,0.432432,0.190633,0.402195,45.996088,88.982709,24.188289,27.231052,-3.042763,0.863867,0.972538,-0.10867,12.103764,0.432277,1372.661279,0.5,4,0.1,2,0.9,18,0.5,4,0.666667,0.5,0.571429,0.91875,0.785714,0.385714,0.614286,0.214286,0.774892,0.785714,0.77551,0.91875,18.407,0.002,18.043024,0.001846,481675,309310,60219,?
jenk-commit,2,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2129,251,28,24,4,0,85.714286,14.285714,0,0.652174,0.143321,0.361576,33.540928,77.310481,25.425517,48.031882,-22.606365,0.908054,1.715424,-0.80737,16.377996,0.584928,1867.7177,0.666667,6,0.052632,1,0.947368,18,0.333333,3,0.857143,0.666667,0.75,0.789474,0.857143,0.243108,0.756892,0.142857,0.857143,0.857143,0.851786,0.789474,18.418,0.001,17.976393,0.0018,481675,309310,60219,?
jenk-commit,2,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.213,251,28,22,6,0,78.571429,21.428571,0,0.508772,0.189171,0.406943,44.271113,87.010667,25.425517,43.847578,-18.422062,0.908054,1.565985,-0.657931,13.130263,0.468938,1497.351972,0.666667,6,0.157895,3,0.842105,16,0.333333,3,0.666667,0.666667,0.666667,0.847953,0.785714,0.276942,0.723058,0.214286,0.785714,0.785714,0.785714,0.847953,18.342,0.002,17.98461,0.001824,481675,309310,60219,?
jenk-commit,2,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.213,251,28,23,5,0,82.142857,17.857143,0,0.551282,0.242163,0.444944,56.672587,95.135943,25.425517,48.405376,-22.979859,0.908054,1.728763,-0.820709,10.410947,0.37182,1187.245983,0.555556,5,0.052632,1,0.947368,18,0.444444,4,0.833333,0.555556,0.666667,0.783626,0.821429,0.318505,0.681495,0.178571,0.823052,0.821429,0.810105,0.783626,18.462,0.002,18.011403,0.001782,481675,309310,60219,?
jenk-commit,2,10,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.213,252,27,21,6,0,77.777778,22.222222,0,0.467105,0.225839,0.459014,54.002966,100.521612,23.672131,74.816136,-51.144005,0.876746,2.770968,-1.894222,9.960188,0.368896,1131.420095,0.625,5,0.157895,3,0.842105,16,0.375,3,0.625,0.625,0.625,0.835526,0.777778,0.310673,0.689327,0.222222,0.777778,0.777778,0.777778,0.835526,18.383,0.002,18.024577,0.001777,481675,310427,59102,?
jenk-commit,3,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.1 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20130820.2131,251,28,17,11,0,60.714286,39.285714,0,-0.084507,0.364565,0.586312,87.962399,129.717322,24.188289,149.088983,-124.900694,0.863867,5.324607,-4.460739,0.88618,0.031649,100.499722,0.125,1,0.2,4,0.8,16,0.875,7,0.2,0.125,0.153846,0.46875,0.607143,0.682143,0.317857,0.392857,0.554037,0.607143,0.575518,0.46875,18.543,0.002,18.096662,0.001794,481675,309310,60219,?
